% time	cellId	IMSI	RNTI	rsrp	sinr
2.84421	1	5	4	6.53166e-11	2.63903
2.84521	1	1	2	6.21852e-11	2.32672
2.84521	1	2	6	6.30827e-11	2.40677
2.84521	1	3	1	6.39079e-11	2.48576
2.84521	1	4	3	6.46542e-11	2.56327
2.84521	1	5	4	6.53153e-11	2.63888
2.84621	1	1	2	6.21819e-11	2.32644
2.84621	1	2	6	6.308e-11	2.40652
2.84621	1	3	1	6.39057e-11	2.48554
2.84621	1	4	3	6.46525e-11	2.56308
2.84621	1	5	4	6.5314e-11	2.63872
2.84721	1	1	2	6.21786e-11	2.32616
2.84721	1	2	6	6.30772e-11	2.40627
2.84721	1	3	1	6.39035e-11	2.48532
2.84721	1	4	3	6.46508e-11	2.56289
2.84721	1	5	4	6.53127e-11	2.63856
2.84821	1	1	2	6.21754e-11	2.32587
2.84821	1	2	6	6.30745e-11	2.40602
2.84821	1	3	1	6.39013e-11	2.4851
2.84821	1	4	3	6.4649e-11	2.5627
2.84821	1	5	4	6.53114e-11	2.6384
2.84921	1	1	2	6.21721e-11	2.32559
2.84921	1	2	6	6.30718e-11	2.40576
2.84921	1	3	1	6.38991e-11	2.48488
2.84921	1	4	3	6.46473e-11	2.56252
2.84921	1	5	4	6.53101e-11	2.63825
2.85021	1	1	2	6.21688e-11	2.32531
2.85021	1	2	6	6.3069e-11	2.40551
2.85021	1	3	1	6.38969e-11	2.48466
2.85021	1	4	3	6.46456e-11	2.56233
2.85021	1	5	4	6.53088e-11	2.63809
2.85121	1	1	2	6.21655e-11	2.32503
2.85121	1	2	6	6.30663e-11	2.40526
2.85121	1	3	1	6.38946e-11	2.48444
2.85121	1	4	3	6.46438e-11	2.56214
2.85121	1	5	4	6.53075e-11	2.63793
2.85221	1	1	2	6.21623e-11	2.32474
2.85221	1	2	6	6.30636e-11	2.40501
2.85221	1	3	1	6.38924e-11	2.48422
2.85221	1	4	3	6.46421e-11	2.56195
2.85221	1	5	4	6.53062e-11	2.63778
2.85321	1	1	2	6.2159e-11	2.32446
2.85321	1	2	6	6.30608e-11	2.40476
2.85321	1	3	1	6.38902e-11	2.484
2.85321	1	4	3	6.46404e-11	2.56176
2.85321	1	5	4	6.53049e-11	2.63762
2.85421	1	1	2	6.21557e-11	2.32418
2.85421	1	2	6	6.30581e-11	2.40451
2.85421	1	3	1	6.3888e-11	2.48378
2.85421	1	4	3	6.46386e-11	2.56157
2.85421	1	5	4	6.53036e-11	2.63746
2.85521	1	1	2	6.21524e-11	2.3239
2.85521	1	2	6	6.30554e-11	2.40425
2.85521	1	3	1	6.38858e-11	2.48356
2.85521	1	4	3	6.46369e-11	2.56138
2.85521	1	5	4	6.53023e-11	2.6373
2.85621	1	1	2	6.21491e-11	2.32361
2.85621	1	2	6	6.30526e-11	2.404
2.85621	1	3	1	6.38836e-11	2.48334
2.85621	1	4	3	6.46351e-11	2.56119
2.85621	1	5	4	6.5301e-11	2.63715
2.85721	1	1	2	6.21459e-11	2.32333
2.85721	1	2	6	6.30499e-11	2.40375
2.85721	1	3	1	6.38813e-11	2.48312
